编号,课件名称,授课人,职务,课时(分),格式,课程简介,制作时间
"NGC06I0325035_2503","全面依法治国的原因和总目标","冯留建","北京师范大学中共党史党建研究院副院长、北京师范大学京师特聘教授",36,"专家讲授精制视频","习近平总书记指出，法治是治国理政不可或缺的重要手段。法治兴则国家兴，法治衰则国家乱。什么时候重视法治、法治昌明，什么时候就国泰民安；什么时候忽视法治、法治松弛，什么时候就国乱民怨。全面推进依法治国，是解决党和国家事业发展面临的一系列重大问题，解放和增强社会活力、促进社会公平正义、维护社会和谐稳定、确保党和国家长治久安的根本要求。本课程由北京师范大学中共党史党建研究院副院长、北京师范大学京师特聘教授冯留建主讲，主要内容是：为什么要全面推进依法治国；如何理解全面依法治国的总目标。",2025.3
"NGC06I0425035_2503","新时代法治中国建设的基本方略","冯留建","北京师范大学中共党史党建研究院副院长、北京师范大学京师特聘教授",21,"专家讲授精制视频","推进全面依法治国是国家治理的一场深刻变革，必须以习近平法治思想为指导，加强理论思维，从理论上回答为什么要全面依法治国，怎样全面依法治国这个重大时代课题，不断从理论和实践的结合上取得新成果，总结好、运用好党关于新时代加强法治建设的思想理论成果，更好指导全面依法治国各项工作。本课程由北京师范大学中共党史党建研究院副院长、北京师范大学京师特聘教授冯留建主讲，主要内容有：坚持党对全面依法治国的领导；完善以宪法为核心的中国特色社会主义法律体系；深入推进依法行政，加快建设法治政府；保证公正司法，提高司法公信力；增强全民法治观念，推进法治社会建设；加强法治工作队伍建设。",2025.3
"NGC06T1325045_2504","数字化智能化变革呼唤政府治理创新","何圣东","浙江省委党校原工商管理教研部主任、教授、企业与市场研究所所长",58,"专家讲授精制视频","当前，新一轮科技革命和产业变革深入发展，数字化浪潮席卷全球。习近平总书记指出，要全面贯彻网络强国战略，把数字技术广泛应用于政府管理服务，推动政府数字化、智能化运行，为推进国家治理体系和治理能力现代化提供有力支撑。本课程由浙江省委党校原工商管理教研部主任、教授、企业与市场研究所所长何圣东主讲，主要内容是：经济、社会数字化呼唤政府治理创新；满足人民服务升级呼唤政府治理创新；高质量建成高水平社会主义市场经济体制呼唤政府治理创新；有为政府的能力体系及建设要点。",2025.4
"NGC06T1425045_2504","浙江数字化改革开启治理创新新实践（上）","何圣东","浙江省委党校原工商管理教研部主任、教授、企业与市场研究所所长",31,"专家讲授精制视频","数字化改革是“最多跑一次”改革和政府数字化转型的迭代深化。要围绕建设数字浙江目标，统筹运用数字化技术、数字化思维、数字化认知，把数字化、一体化、现代化贯穿到党的领导和经济、政治、文化、社会、生态文明建设全过程各方面，全面形成党建统领的整体智治体系。本课程由浙江省委党校原工商管理教研部主任、教授、企业与市场研究所所长何圣东主讲，主要内容是：一、数字化改革的定义与特征；二、数字化改革的重点任务；三、场景创新：数字化改革落地的途径。",2025.4
"NGC06T1525045_2504","浙江数字化改革开启治理创新新实践（下）","何圣东","浙江省委党校原工商管理教研部主任、教授、企业与市场研究所所长",28,"专家讲授精制视频","数字化改革是“最多跑一次”改革和政府数字化转型的迭代深化。要围绕建设数字浙江目标，统筹运用数字化技术、数字化思维、数字化认知，把数字化、一体化、现代化贯穿到党的领导和经济、政治、文化、社会、生态文明建设全过程各方面，全面形成党建统领的整体智治体系。本课程由浙江省委党校原工商管理教研部主任、教授、企业与市场研究所所长何圣东主讲，主要内容是：三、场景创新：数字化改革落地的途径；四、浙江省数字化改革回头看；五、浙江数字化改革的基本经验。",2025.4
"NGC06I1425055_2505","法治思维与法治方式是法治能力的基本内容","张学博","中央党校（国家行政学院）政治和法律教研部教授",53,"专家讲授精制视频","法治是人类文明的重要成果之一，作为国家治理体系和治理能力的重要依托，越来越受到重视。运用法治的工具理性治国理政、推动工作，上升到认识论层面，就是法治思维，概括地说，法治思维就是将法治的诸种要求运用于认识、分析、处理问题的思维方式。党的十八大以来，习近平总书记高度重视法治思维，多次强调，领导干部谋划工作要运用法治思维，处理问题要运用法治方式，做到在法治之下、而不是法治之外、更不是法治之上想问题、作决策、办事情。本课程由中央党校（国家行政学院）政治和法律教研部教授张学博主讲，主要内容有：何为法治思维与法治方式；法治思维方式的特征；法治思维与法治方式的要求。",2025.5
"NGC06I1525055_2505","提高领导干部运用确定性思维和公平性思维排查化解矛盾纠纷的能力","张学博","中央党校（国家行政学院）政治和法律教研部教授",29,"专家讲授精制视频","社会是一个复杂而多元的系统，其中不可避免地存在着各种矛盾和冲突。这些矛盾如果得不到及时有效的化解，可能会逐渐积累并激化，进而对社会稳定和发展造成严重影响。因此，开展社会矛盾化解工作具有非常重要的意义。社会矛盾化解工作在维护社会稳定、促进社会公正、推动经济发展以及提升社会治理能力等方面都具有重要意义。党的十八大报告提出，要提高领导干部运用法治思维和法治方式深化改革、推动发展、化解矛盾、维护稳定能力。作为基层领导干部，要适应这种新要求，不断提高排查化解矛盾纠纷的能力，努力构建一个更加和谐、稳定、繁荣的社会。本课程由中央党校（国家行政学院）政治和法律教研部教授张学博主讲，主要内容有：提高领导干部运用确定性思维排查化解矛盾纠纷能力；提高领导干部运用公平性思维排查化解矛盾纠纷能力。",2025.5
"NGC06I1625055_2505","增强自下而上思维和自组织思维，提升矛盾纠纷排查化解能力","张学博","中央党校（国家行政学院）政治和法律教研部教授",31,"专家讲授精制视频","矛盾纠纷排查化解工作是一个重要的社会工作，它涉及到各个领域和层面的矛盾纠纷，包括个人之间的矛盾、组织之间的矛盾以及社会之间的矛盾。矛盾纠纷排查化解工作不仅是社会治理的重要组成部分，也是维护社会稳定和谐的重要手段，它关乎社会稳定和人民群众的利益。为了维护社会稳定和谐，及时有效地排查和化解矛盾纠纷显得尤为重要。本课程由中央党校（国家行政学院）政治和法律教研部教授张学博主讲，主要内容有：提高领导干部自下而上思维排查化解矛盾纠纷能力；提高领导干部自组织思维排查化解矛盾纠纷能力。",2025.5
"NGC06T1325065_2506","建设数字领导力 引领智能化变革","何圣东","浙江省委党校原工商管理教研部主任、教授、企业与市场研究所所长",49,"专家讲授精制视频","当今，数字化智能化变革给人类生活带来广泛而深刻的影响，数字技术悄无声息地渗入各行各业，改变人们的工作模式、相处模式以及思维方式，包括政府、学校、企业在内的各大公共部门的领导者都要适应数字技术所带来的领导模式变革，运用数字思维、数字技能来改进工作方式、提升治理能力、提供便捷高效的公共服务，注重数字领导力建设，引领社会智能化变革。本课程浙江省委党校原工商管理教研部主任、教授、企业与市场研究所所长何圣东主讲，主要内容是：领导力特别是数字领导力是引领智能化变革的保障；中央对数字领导力建设的要求；数字领导力建设的思维及观念基础。",2025.6
"NGC06T1425065_2506","网络空间治理的中国图景：变革与规划（一）","陈靖元","暨南大学通用人工智能媒体研发中心高级顾问",40,"专家讲授精制视频","信息化、全球化、多极化是当今世界的基本特征，全球正在经历一场史无前例的更深层次、更大范围的产业变革和科技革命。在这样一个万物互联互通的时代,网络世界和物理世界的边界逐渐模糊，互联网已经成为人类社会的基础设施。在新的历史时期，中国在网络空间治理方面进行了创新实践，这体现了治国理政“中国模式”的萌生和发展，是国家治理现代化的一个重要方面。本课程由暨南大学通用人工智能媒体研发中心高级顾问陈靖元主讲，主要内容是：一、国家治理的演进与发展；二、全球治理的变革与回归；三、网络规制与国家治理介入；四、智能时代的国家安全治理；五、从无序到协同：网络治理的价值追寻。",2025.6
"NGC06T1525065_2506","网络空间治理的中国图景：变革与规划（二）","陈靖元","暨南大学通用人工智能媒体研发中心高级顾问",40,"专家讲授精制视频","信息化、全球化、多极化是当今世界的基本特征，全球正在经历一场史无前例的更深层次、更大范围的产业变革和科技革命。在这样一个万物互联互通的时代,网络世界和物理世界的边界逐渐模糊，互联网已经成为人类社会的基础设施。在新的历史时期，中国在网络空间治理方面进行了创新实践，这体现了治国理政“中国模式”的萌生和发展，是国家治理现代化的一个重要方面。本课程由暨南大学通用人工智能媒体研发中心高级顾问陈靖元主讲，主要内容是：六、从局部到整体：网络舆论的疏导治理；七、从一元到多元：公共风险的控制应对；八、从单向到双向：网络生态治理的要素联动。",2025.6
"NGC06T1625065_2506","网络空间治理的中国图景：变革与规划（三）","陈靖元","暨南大学通用人工智能媒体研发中心高级顾问",43,"专家讲授精制视频","信息化、全球化、多极化是当今世界的基本特征，全球正在经历一场史无前例的更深层次、更大范围的产业变革和科技革命。在这样一个万物互联互通的时代,网络世界和物理世界的边界逐渐模糊，互联网已经成为人类社会的基础设施。在新的历史时期，中国在网络空间治理方面进行了创新实践，这体现了治国理政“中国模式”的萌生和发展，是国家治理现代化的一个重要方面。本课程由暨南大学通用人工智能媒体研发中心高级顾问陈靖元主讲，主要内容是：九、从结果到过程：网络空间的政府规制；十、问政于民：政治参与的新载体；十一、问需于民：党群协商的新平台；十二、问计于民：数字治理的新层级。",2025.6
"NGC06T1725065_2506","网络空间治理的中国图景：变革与规划（四）","陈靖元","暨南大学通用人工智能媒体研发中心高级顾问",53,"专家讲授精制视频","信息化、全球化、多极化是当今世界的基本特征，全球正在经历一场史无前例的更深层次、更大范围的产业变革和科技革命。在这样一个万物互联互通的时代,网络世界和物理世界的边界逐渐模糊，互联网已经成为人类社会的基础设施。在新的历史时期，中国在网络空间治理方面进行了创新实践，这体现了治国理政“中国模式”的萌生和发展，是国家治理现代化的一个重要方面。本课程由暨南大学通用人工智能媒体研发中心高级顾问陈靖元主讲，主要内容是：十三、问稳于民：情绪管理的新视角；十四、共生性分析：完善网络空间全球治理的中国方案；十五、差异性分析：中美网络安全的法律规制比较；十六、耦合性分析：中美网络空间新型大国关系的构建；十七、整体性分析：全球视野下网络空间治理的优化。",2025.6
"NGC06X1225085_2508","领导干部经济工作能力提升路径探析（上）","承友明","安徽交通职业技术学院教授",46,"专家讲授精制视频","当前，全球经济复苏的不确定性、地缘政治风险加剧，国内产业结构调整、技术创新驱动、绿色低碳发展等任务艰巨，做好经济工作，必须提高党领导经济工作能力和水平，开展工作必须综合考虑政治和经济、现实和历史、物质和文化、发展和民生、资源和生态、国内和国际等多方面因素，处理好经济和社会、政府和市场、效率和公平、活力和秩序、发展和安全等重大关系，坚持系统观念，强化辩证思维，树立忧患意识，多维度综合考量，把握好时度效，找到最优解。本课程由安徽交通职业技术学院教授承友明主讲，主要内容是：经济工作能力提升的重要性；经济工作能力提升的核心内容；经济工作能力提升的方法与途径；经济工作能力提升的实践案例。",2025.8
"NGC06X1325085_2508","领导干部经济工作能力提升路径探析（下）","承友明","安徽交通职业技术学院教授",53,"专家讲授精制视频","当前，全球经济复苏的不确定性、地缘政治风险加剧，国内产业结构调整、技术创新驱动、绿色低碳发展等任务艰巨，做好经济工作，必须提高党领导经济工作能力和水平，开展工作必须综合考虑政治和经济、现实和历史、物质和文化、发展和民生、资源和生态、国内和国际等多方面因素，处理好经济和社会、政府和市场、效率和公平、活力和秩序、发展和安全等重大关系，坚持系统观念，强化辩证思维，树立忧患意识，多维度综合考量，把握好时度效，找到最优解。本课程由安徽交通职业技术学院教授承友明主讲，主要内容是：经济工作能力提升的后续行动；生态文明建设的重要性；领导干部在生态文明建设中的角色；经济工作与生态文明建设的结合；案例分析与实践。",2025.8
"CGC06T1025095_2509","《中央行政事业单位国有资产使用管理办法》解读（上）","智库专家团","精英在线特邀智库团",44,"彩课","国有资产是全体国民共有的财富，行政事业单位的国有资产更是其履行政府职能的关键物质基础。近年来，各部门和单位在资产管理方面虽有进步，管理意识逐步增强，资产使用管理也日趋规范，但仍存在诸多问题。为规范中央行政事业单位国有资产使用管理，提高资产使用效能，维护国有资产安全和完整，保障国家所有者权益，财政部印发了《中央行政事业单位国有资产使用管理办法》。本课程的主要内容是：《办法》出台的背景及意义；国有资产的分类及来源；《办法》内容解读。",2025.9
"CGC06T1125095_2509","《中央行政事业单位国有资产使用管理办法》解读（中）","智库专家团","精英在线特邀智库团",47,"彩课","国有资产是全体国民共有的财富，行政事业单位的国有资产更是其履行政府职能的关键物质基础。近年来，各部门和单位在资产管理方面虽有进步，管理意识逐步增强，资产使用管理也日趋规范，但仍存在诸多问题。为规范中央行政事业单位国有资产使用管理，提高资产使用效能，维护国有资产安全和完整，保障国家所有者权益，财政部印发了《中央行政事业单位国有资产使用管理办法》。本课程的主要内容是：《办法》内容解读。",2025.9
"CGC06T1225095_2509","《中央行政事业单位国有资产使用管理办法》解读（下）","智库专家团","精英在线特邀智库团",41,"彩课","国有资产是全体国民共有的财富，行政事业单位的国有资产更是其履行政府职能的关键物质基础。近年来，各部门和单位在资产管理方面虽有进步，管理意识逐步增强，资产使用管理也日趋规范，但仍存在诸多问题。为规范中央行政事业单位国有资产使用管理，提高资产使用效能，维护国有资产安全和完整，保障国家所有者权益，财政部印发了《中央行政事业单位国有资产使用管理办法》。本课程的主要内容是：《办法》内容解读。",2025.9
"NGC06I1325115_2511","网络舆情处置策略与方法（上）","李明","中央党校（国家行政学院）应急管理研究院教授、博导",31,"专家讲授精制视频","互联网把我们带入一个多维的信息化、网络化时代，网络舆论成为民意的“晴雨表”。目前，网络言论载体的新形态层出不穷，我们要深刻认识网络舆情的影响，正视网络舆情的严峻挑战，在网络舆情监测与应对中，要不断提高网络舆情风险的预警和研判能力。本课程由中央党校（国家行政学院）应急管理研究院教授、博导李明主讲，主要内容是：网络舆情基本概述；网络舆情处置策略方法。",2025.11
"NGC06I1425115_2511","网络舆情处置策略与方法（下）","李明","中央党校（国家行政学院）应急管理研究院教授、博导",36,"专家讲授精制视频","互联网把我们带入一个多维的信息化、网络化时代，网络舆论成为民意的“晴雨表”。目前，网络言论载体的新形态层出不穷，我们要深刻认识网络舆情的影响，正视网络舆情的严峻挑战，在网络舆情监测与应对中，要不断提高网络舆情风险的预警和研判能力。本课程由中央党校（国家行政学院）应急管理研究院教授、博导李明主讲，主要内容是：网络舆情处置策略方法。",2025.11
"NGC06X1525115_2511","人工智能时代思想政治教育与社会治理的融合发展（一）","黄平飞","安徽三联学院副教授",33,"专家讲授精制视频","随着人工智能时代的到来，我国社会全面发展与转型升级，新旧体制、不同思想的相互碰撞、相互冲击引发出一系列社会问题和矛盾，需要思想政治教育为社会提供正确的思想价值引领和精神动力。人工智能时代社会治理的问题具有多元性和复杂性，要实现社会治理体系的现代化，就要让人工智能为社会治理体系现代化建设赋能，提升思想政治教育助力社会治理的水平。本课程由安徽三联学院副教授黄平飞主讲，主要内容是：人工智能时代思想政治教育助力社会治理的境遇。",2025.11
"NGC06X1625115_2511","人工智能时代思想政治教育与社会治理的融合发展（二）","黄平飞","安徽三联学院副教授",29,"专家讲授精制视频","随着人工智能时代的到来，我国社会全面发展与转型升级，新旧体制、不同思想的相互碰撞、相互冲击引发出一系列社会问题和矛盾，需要思想政治教育为社会提供正确的思想价值引领和精神动力。人工智能时代社会治理的问题具有多元性和复杂性，要实现社会治理体系的现代化，就要让人工智能为社会治理体系现代化建设赋能，提升思想政治教育助力社会治理的水平。本课程由安徽三联学院副教授黄平飞主讲，主要内容是：人工智能时代思想政治教育助力社会治理的境遇。",2025.11
"NGC06X1725115_2511","人工智能时代思想政治教育与社会治理的融合发展（三）","黄平飞","安徽三联学院副教授",32,"专家讲授精制视频","随着人工智能时代的到来，我国社会全面发展与转型升级，新旧体制、不同思想的相互碰撞、相互冲击引发出一系列社会问题和矛盾，需要思想政治教育为社会提供正确的思想价值引领和精神动力。人工智能时代社会治理的问题具有多元性和复杂性，要实现社会治理体系的现代化，就要让人工智能为社会治理体系现代化建设赋能，提升思想政治教育助力社会治理的水平。本课程由安徽三联学院副教授黄平飞主讲，主要内容是：人工智能时代思想政治教育助力社会治理的境遇；人工智能时代思想政治教育助力社会治理的价值意蕴。",2025.11
"NGC06X1825115_2511","人工智能时代思想政治教育与社会治理的融合发展（四）","黄平飞","安徽三联学院副教授",28,"专家讲授精制视频","随着人工智能时代的到来，我国社会全面发展与转型升级，新旧体制、不同思想的相互碰撞、相互冲击引发出一系列社会问题和矛盾，需要思想政治教育为社会提供正确的思想价值引领和精神动力。人工智能时代社会治理的问题具有多元性和复杂性，要实现社会治理体系的现代化，就要让人工智能为社会治理体系现代化建设赋能，提升思想政治教育助力社会治理的水平。本课程由安徽三联学院副教授黄平飞主讲，主要内容是：人工智能时代思想政治教育助力社会治理的价值意蕴。",2025.11
"NGC06X1025125_2512","筑牢意识形态安全防线（上）","王利君","中共安徽省委党校副教授",46,"专家讲授精制视频","党的二十届四中全会将意识形态安全提升至国家安全战略高度，明确了“坚持马克思主义在意识形态领域的指导地位”的根本原则和“防范化解意识形态风险”的实践要求，为新时代意识形态工作提供了方向指引和行动指南，具有重大理论和实践意义。本课程由王利君副教授主讲，主要内容是：意识形态的内涵；坚定地维护意识形态安全；我国意识形态领域存在的重大风险挑战。",2025.12
"NGC06X1125125_2512","筑牢意识形态安全防线（下）","王利君","中共安徽省委党校副教授",46,"专家讲授精制视频","党的二十届四中全会将意识形态安全提升至国家安全战略高度，明确了“坚持马克思主义在意识形态领域的指导地位”的根本原则和“防范化解意识形态风险”的实践要求，为新时代意识形态工作提供了方向指引和行动指南，具有重大理论和实践意义。本课程由王利君副教授主讲，主要内容是：我国意识形态领域存在的重大风险挑战；找准维护意识形态安全的实践路径。",2025.12
"NGC06X1225125_2512","修身齐家与治国理政——干部的形象塑造与担当作为","承友明","安徽交通职业技术学院教授",46,"专家讲授精制视频","领导干部家风好坏，是检验自身作风过硬与否的“试金石”，没有好的家风，就很难有好的党风政风。领导干部的担当作为与家庭家风建设密切相关，优良家风不仅是个人品德的重要体现，也是推动清正廉洁、担当实干的重要保障。新时代新征程，各级领导干部要以修身铸魂筑牢家风根基，积极担当作为、敢于善于斗争，推动党和国家事业不断向前发展。本课程由承友明教授主讲，主要内容是：“修身、齐家、治国、平天下”，习近平总书记的家国情怀；领导干部要把修身、齐家落到实处；用中央八项规定精神塑造党员干部良好形象；让愿担当敢担当善担当蔚然成风。",2025.12
"NGC06X1325125_2512","阳光下的权力——现代政府治理的基石与生命线（上）","承友明","安徽交通职业技术学院教授",44,"专家讲授精制视频","政务诚信是“第一诚信”，是整个社会信用大厦的顶梁柱，是国家治理的重要资源，是提升政务公信力的有效措施、执政能力提高的加速器和提升国家形象的助推器，是现代国家治理的“晴雨表”。习近平总书记指出，政府无信，则权威不立。政务诚信直接影响政府形象和公信力，同时也是优化营商环境的重要内容。本课程由承友明教授主讲，主要内容是：什么是政务诚信；为什么要大力建设政务诚信；学习《国务院关于加强政务诚信建设的指导意见》；把深化政务信用建设放在首位；打造政务诚信“广东样本”。",2025.12
"NGC06X1425125_2512","阳光下的权力——现代政府治理的基石与生命线（下）","承友明","安徽交通职业技术学院教授",42,"专家讲授精制视频","政务诚信是“第一诚信”，是整个社会信用大厦的顶梁柱，是国家治理的重要资源，是提升政务公信力的有效措施、执政能力提高的加速器和提升国家形象的助推器，是现代国家治理的“晴雨表”。习近平总书记指出，政府无信，则权威不立。政务诚信直接影响政府形象和公信力，同时也是优化营商环境的重要内容。本课程由承友明教授主讲，主要内容是：打造政务诚信“广东样本”；各地方多措并举推动“政务诚信”建设走深走实综述；以政务诚信引领社会诚信；政务诚信评价要求。",2025.12
"NGC06I1026015_2601","以铸牢中华民族共同体意识为主线，推进新时代党的民族工作高质量发展（上）","吴孝刚","中央党校（国家行政学院）统一战线教研部讲师",44,"专家讲授精制视频","民族工作在党和国家事业全局中占有重要地位。党的十八大以来，习近平总书记立足新时代新形势，提出了铸牢中华民族共同体意识的重大论断，指出铸牢中华民族共同体意识是新时代党的民族工作的主线，同时也是民族地区各项工作的主线。铸牢中华民族共同体意识，就是要引导各族人民牢固树立休戚与共、荣辱与共、生死与共、命运与共的共同体理念。本课程由中央党校（国家行政学院）统一战线教研部讲师吴孝刚主讲，主要内容是：新时代党的民族工作的历史方位；“铸牢中华民族共同体意识”相关概念及内涵。",2026.1
"NGC06I1126015_2601","以铸牢中华民族共同体意识为主线，推进新时代党的民族工作高质量发展（下）","吴孝刚","中央党校（国家行政学院）统一战线教研部讲师",46,"专家讲授精制视频","民族工作在党和国家事业全局中占有重要地位。党的十八大以来，习近平总书记立足新时代新形势，提出了铸牢中华民族共同体意识的重大论断，指出铸牢中华民族共同体意识是新时代党的民族工作的主线，同时也是民族地区各项工作的主线。铸牢中华民族共同体意识，就是要引导各族人民牢固树立休戚与共、荣辱与共、生死与共、命运与共的共同体理念。本课程由中央党校（国家行政学院）统一战线教研部讲师吴孝刚主讲，主要内容是：“铸牢中华民族共同体意识”相关概念及内涵；“铸牢中华民族共同体意识”的重大意义及重点任务；新时代党的民族理论与政策的守正创新。",2026.1
"GC07I1714125_1501","内圣外王与党风廉政建设","赵金刚","中国社会科学院哲学研究所博士后",58,"精品三分屏","本课程由中国社会科学院哲学研究所博士后赵金刚主讲，主要内容有：一、如何看待历史经验；二、内圣外王与世道人心；三、“羡慕、嫉妒、恨”心态分析；四、如何形成反腐败的社会氛围；五、加强党员自我修养需要注意的问题。",2014.12
"GC07I1814125_1501","我国当前所面临的腐败现象","郝栋","中共中央党校哲学部讲师",62,"精品三分屏","本课程由中共中央党校哲学部讲师郝栋主讲，主要内容包括：一、转型期反腐败的特点；二、转型期的含义；三、腐败的经济学分析；四、腐败和经济之间的关系；五、我国转型期腐败的特点；六、转型期腐败的测量。",2014.12
"GC07I1914125_1501","中国转型期腐败与反腐败的成本博弈研究","郝栋","中共中央党校哲学部讲师",58,"精品三分屏","本课程由中共中央党校哲学部讲师郝栋主讲，主要内容包括：一、腐败的概念及分类；二、腐败的产生原理。",2014.12
"GC07I2014125_1501","坚定不移地将反腐倡廉引向深入","周衍冰","中央党校马克思主义理论部老师",70,"精品三分屏","本课程由中央党校马克思主义理论部老师周衍冰主讲，主要内容有：一、十八大以来反腐倡廉的背景和面临的问题；二、十八大以来反腐倡廉的基本特点和做法；三、完善预防和惩治腐败的四种机制；四、“四不贪”机制建设的重要启示。",2014.12
"GC07A0514111_1502","推动公务员财产透明化思考（上）","张希贤","中央党校党建部教授、博导",59,"精品三分屏","本课程是《推动公务员财产透明化思考》系列课程的上部，由中共中央党校党建部张希贤教授主讲，主要内容包括：一、我国的反腐倡廉建设进入新时期；二、推进公务员和国家公职党员领导干部财产透明化。",2014.11
"GC07A0614111_1502","推动公务员财产透明化思考（下）","张希贤","中央党校党建部教授、博导",47,"精品三分屏","本课程是《推动公务员财产透明化思考》系列课程的下部，由中共中央党校党建部张希贤教授主讲，主要内容包括：二、推进公务员和国家公职党员领导干部财产透明化；三、思考与总结。",2014.11
"GC07I2415015_1503","腐败与反腐败成本分析","郝栋","中央党校哲学教研部哲学博士",65,"精品三分屏","本课程由中央党校哲学教研部哲学博士郝栋主讲，主要内容有：一、成本概念；二、腐败成本的构成；三、反腐败成本的构成；四、我国转型期腐败与反腐败成本投入分析；五、转型期下的腐败与反腐败成本博弈。",2015.1.6
"GC07I1115025_1506","作风建设永远在路上——民主集中","孙林","中央党校党建部讲师、博士",66,"精品三分屏","本课程由中央党校党建部讲师孙林主讲，主要内容有：一、民主集中制的历史沿革；二、民主集中制的制度优势；三、坚持和完善民主集中制。",2015.2
"GC07I1215025_1506","作风建设永远在路上——实干兴邦","强舸","中央党校党建部讲师",63,"精品三分屏","本课程由中央党校党建部讲师强舸主讲，主要内容有：一、实干兴邦的历史脉络；二、实干兴邦的现实意义；三、实干兴邦的具体要求。",2015.2
"GC07I1315025_1506","作风建设永远在路上——实事求是","张弛","中共中央党校副教授",60,"精品三分屏","本课程由中央党校党的建设教研部博士张弛主讲，主要内容有：一、“实事求是”要求党员干部会学习、善于学习；二、实事求是的核心在于“实践”；三、把握大的方向，积极调整应对；四、广纳善言，充实提高；五、调查研究，落实作风。",2015.2
"GC07I1415025_1506","作风建设永远在路上——思想是源","张弛","中共中央党校副教授",61,"精品三分屏","本课程由中央党校党的建设教研部讲师张弛主讲，主要内容有：一、思想建设对作风建设的重要性；二、思想建设的两大层面。",2015.2
"GC07I1515025_1506","切入点：围绕人心向背持之以恒抓作风","赵绪生","中央党校党建教研部教授",57,"精品三分屏","本课程由中央党校党建教研部教授赵绪生主讲，主要内容有：一、作风建设是全面从严治党的切入点；二、当前加强执政党作风建设的重要性；三、按照从严治党要求持之以恒纠四风。",2015.5
"GC07I1815065_1507","永葆清正廉洁的政治本色","陶元浩","中央党校党建部讲师",62,"精品三分屏","本课程由中央党校党建部讲师陶元浩主讲，主要内容有：一、从党和国家的生死存亡的高度，认识清正廉洁的极端重要性；二、严以修身、严以用权、严以律己，从思想上行动上永葆清正廉洁；三、加强反腐倡廉建设的组织和制度保障。",2015.6
"GC07C1415050_1508","中国反腐败研究","何家弘","中国人民大学法学教授",33,"精品三分屏","本课程由中国人民大学法学教授何家弘主讲，主要内容包括：一、中国腐败犯罪的现状评估；二、中国腐败犯罪的原因分析；三、中国反腐败的策略设计。",2015.5.2
"GC07I1515085_1509","新加坡的反腐奇迹","郇 雷","中央党校科社部博士",61,"精品三分屏","本课程由中央党校科社部博士郇雷主讲，主要内容有：二、实行异常严厉的腐败惩治制度；三、拥有独立的反腐机构；四、实行绩优官僚制；五、重视社会廉政文化培育，发挥文化软实力作用。",2015.8
"GC07I1615095_1510","韩国现代化进程中的腐败问题及其治理经验","郇雷","中央党校科社部讲师",61,"精品三分屏","本课程由中央党校科社部讲师郇雷主讲，主要内容包括：一、韩国现代化初期的腐败治理；二、韩国民主转型后的腐败治理；三、韩国政治腐败的成因。",2015.9
"GC07I1715095_1510","美国历史上的腐败及其反腐机制","郇雷","中央党校科社部讲师",57,"精品三分屏","本课程由中央党校科社部博士郇雷主讲，主要内容有：一、美国政治腐败“高发期”；二、美国历史上腐败猖獗的原因；三、美国腐败治理机制。",2015.9
"GC07I2515105_1512","新加坡廉政建设的经验与启示（上）","曾毅","中央党校党建教研部博士",51,"精品三分屏","本课程是《新加坡廉政建设的经验与启示》系列课程的上半部分，由中央党校党建教研部博士曾毅主讲，主要内容有：课程前言：什么是腐败；一、选择新加坡作为讨论对象的原因；二、新加坡廉政建设的历史经验。",2015.1
"GC07I2615105_1512","新加坡廉政建设的经验与启示（下）","曾毅","中央党校党建教研部博士",53,"精品三分屏","本课程是《新加坡廉政建设的经验与启示》系列课程的下半部分，由中央党校党建教研部博士曾毅主讲，主要内容有：新加坡廉政建设的历史经验；新加坡反腐经验的初步思考与启示。",2015.1
"GC07I1515125_1601","当前反腐败形势与治理对策","李军鹏","国家行政学院公共管理教研部教授",60,"精品三分屏","本课程由国家行政学院公共管理教研部教授李军鹏主讲，主要内容有：一、当前反腐败的形势分析；二、深入开展反腐败斗争的极端重要性；三、党的十八大以来反腐败斗争的特点与成就；四、深入开展反腐败斗争的对策。",2015.12
"GC07I1615125_1601","按党性原则如何做人做事","王 莉","中央党校副教授",78,"精品三分屏","本课程由中央党校副教授王莉主讲，主要内容有：一、党性原则及主要内容；二、新的历史条件下坚持党性原则面临新考验；三、坚持党性原则，做忠诚干净担当的干部。",2015.12
"GC07A2516011_1602","开展动态绩效考核 助推干部勤政廉政（上）","刘旭涛","国家行政学院公共管理教研部教授",49,"精品三分屏","本课程是《开展动态绩效考核 助推干部勤政廉政》系列课程的上部，由国家行政学院公共管理教研部教授刘旭涛主讲，主要内容包括：一、当前“为官不为”的问题及对策；二、以动态绩效考核促勤政廉政建设。",2016.1
"GC07A2616011_1602","开展动态绩效考核 助推干部勤政廉政（下）","刘旭涛","国家行政学院公共管理教研部教授",52,"精品三分屏","本课程是《开展动态绩效考核 助推干部勤政廉政》系列课程的下部，由国家行政学院公共管理教研部教授刘旭涛主讲，主要内容包括：二、以动态绩效考核促勤政廉政建设；三、“四位一体”优化绩效管理系统。",2016.1
"GC07I1116025_1603","以习近平总书记重要讲话为指导，务求2016年全面从严治党取得新成效","高新民","中央党校党建部教授",63,"精品三分屏","本课程由中央党校党建部教授高新民主讲，主要内容有：一、全面从严治党是“四个全面”战略布局的重要组成部分；二、全面从严治党基本形势判断；三、全面从严治党永远在路上。",2016.2
